0,assume,asume,False
1,forbid,forbid,False
2,effort,efort,False
3,guide,guide,False
4,particle,particle,False
5,respectable,respctabl,False
6,agreement,agremnt,False
7,discount,discount,False
8,treasurer,treasu,False
9,message,mesag,False
10,railcar,railc,False
11,victory,victory,False
12,alamakota,almkot,False
13,michal,michal,False
14,kot,kot,False
15,kajak,kaj,True
16,maram,mar,True
17,korok,kor,True
18,pattern,patern,False
19,cow,cow,False
20,forum,forum,False
21,cross,cros,False
22,scream,scream,False
23,swallow,swalo,False
24,housing,housing,False
25,jail,jail,False
26,criticism,critsm,False
27,reaction,reaction,False
28,wilderness,wilderns,False
29,orgy,orgy,False
30,clinic,clin,False
31,collection,coletin,False
32,grudge,grude,False
33,lover,lover,False
34,medal,medal,False
35,magazine,magzine,False
36,dealer,dealr,False
37,bless,bles,False
38,pick,pick,False
39,romantic,romantic,False
40,fashionable,fashionble,False
41,degree,degr,False
42,organize,organize,False
43,blue,blue,False
44,poetry,poetry,False
45,infection,infecto,False
46,craft,craft,False
47,notice,notice,False
48,sex,sex,False
49,crouch,crouh,False
50,twitch,twich,False
51,jump,jump,False
52,foot,fot,False
53,slant,slant,False
54,belief,belif,False
55,absorb,absor,False
